gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,3/12/23,0,1,0.960588664,0.678712305,0.195571999,0.077998891,0.026176892,0.003468122,1,1,194,Ohio State,91.03,Seattle 3,3,84
womens,3/12/23,0,1,0.836199596,0.255135383,0.111958321,0.046159944,0.017820401,0.002823674,1,1,66,Iowa State,91.57,Seattle 3,5,72
womens,3/12/23,0,1,0.983897226,0.771785578,0.21139271,0.043058761,0.004035637,0.001333758,1,1,150,Duke,90.13,Seattle 4,3,52
womens,3/12/23,0,1,0.898476535,0.701030308,0.141720074,0.050785051,0.014055548,0.001315098,1,1,222,Villanova,88.55,Greenville 2,4,108
womens,3/12/23,0,1,0.839427212,0.21657876,0.046037484,0.019832658,0.002560445,0.001068779,1,1,97,Louisville,91.45,Seattle 4,5,40
womens,3/12/23,0,1,0.774007797,0.276435025,0.072197107,0.026614552,0.008384819,0.00103453,1,1,153,North Carolina,89.69,Seattle 3,6,80
womens,3/12/23,0,1,0.705838288,0.165732406,0.067701145,0.023152602,0.007868753,0.000946701,1,1,152,North Carolina State,89.4,Greenville 2,7,120
womens,3/12/23,0,1,0.736927743,0.184788555,0.082140958,0.021857949,0.006411176,0.000646458,1,1,130,Michigan,87.77,Greenville 2,6,112
womens,3/12/23,0,1,0.949169273,0.70023912,0.017261787,0.005336394,0.001295995,0.000378184,1,1,26,UCLA,88.67,Greenville 1,4,12
womens,3/12/23,0,1,0.800671891,0.263088529,0.008148457,0.002918517,0.000914624,0.000335554,1,1,201,Oklahoma,87.9,Greenville 1,5,8
womens,3/12/23,0,1,0.721302534,0.160112483,0.060089228,0.003078759,0.000909276,0.000316616,1,1,156,Creighton,88.66,Greenville 1,6,16
womens,3/12/23,0,1,0.610064917,0.04538888,0.019599184,0.006126473,0.002030122,0.000268042,1,1,239,Baylor,86.61,Seattle 3,7,88
womens,3/12/23,0,1,0.593788738,0.147826932,0.04050588,0.008323231,0.000705644,0.000218186,1,1,38,Colorado,87.25,Seattle 4,6,48
womens,3/12/23,0,1,0.585313609,0.167876626,0.023924331,0.006512395,0.001683725,0.000147253,1,1,265,Washington State,86.55,Greenville 2,5,104
womens,3/12/23,0,1,0.598084764,0.065209793,0.021426899,0.005812658,0.001417999,0.000130171,1,1,2571,South Dakota State,85.75,Seattle 3,9,70
womens,3/12/23,0,1,0.543772833,0.031235505,0.010379991,0.003418807,0.000336447,0.000116473,1,1,145,Mississippi,87.34,Seattle 4,8,36
womens,3/12/23,0,1,0.518492574,0.051076515,0.022413861,0.00352856,0.000273075,7.90E-05,1,1,52,Florida State,86.22,Seattle 4,7,56
womens,3/12/23,0,1,0.572020447,0.087875632,0.025931846,0.000996977,0.000252218,7.69E-05,1,1,12,Arizona,87.05,Greenville 1,7,24
womens,3/12/23,0,1,0.515050173,0.028552634,0.011326126,0.002633254,0.000651627,5.44E-05,1,1,197,Oklahoma State,83.17,Greenville 2,8,100
womens,3/12/23,0,1,0.481507426,0.044710971,0.018582101,0.002717103,0.000191478,5.16E-05,1,1,61,Georgia,85.4,Seattle 4,10,58
womens,3/12/23,0,1,0.401915236,0.03179182,0.010025996,0.002617461,0.000544314,4.18E-05,1,1,30,Southern California,84.52,Seattle 3,8,68
womens,3/12/23,0,1,0.484949827,0.025534084,0.01079988,0.002711905,0.000553374,3.71E-05,1,1,2390,Miami (FL),83.49,Greenville 2,9,102
womens,3/12/23,0,1,0.414686391,0.097186631,0.011831725,0.002835588,0.000553112,3.53E-05,1,1,526,Florida Gulf Coast,82.94,Greenville 2,12,106
womens,3/12/23,0,1,0.456227167,0.022417091,0.007844498,0.002710818,0.000150969,3.39E-05,1,1,2250,Gonzaga,84.68,Seattle 4,9,38
womens,3/12/23,0,1,0.572000643,0.005785862,0.002900197,0.000818288,0.000147474,3.34E-05,1,1,58,South Florida,83.98,Greenville 1,8,4
womens,3/12/23,0,1,0.294161712,0.03722146,0.008704528,0.001713091,0.000358622,2.48E-05,1,1,163,Princeton,83.69,Greenville 2,10,122
womens,3/12/23,0,1,0.389935083,0.019844352,0.006125728,0.001323644,0.000270691,2.04E-05,1,1,333,Alabama,82.91,Seattle 3,10,90
womens,3/12/23,0,1,0.406211262,0.07894008,0.012033858,0.001355069,7.46E-05,1.66E-05,1,1,2393,Middle Tennessee,82.91,Seattle 4,11,50
womens,3/12/23,0,1,0.427999357,0.003219457,0.001457861,0.000361174,6.04E-05,1.28E-05,1,1,269,Marquette,82.79,Greenville 1,9,6
womens,3/12/23,1,0.662543585,0.171568864,0.032765577,0.004281911,0.000879633,0.000159297,1.05E-05,0,1,2509,Purdue,81.65,Seattle 3,11a,82
womens,3/12/23,0,1,0.427979553,0.053331248,0.011778077,0.000320613,4.46E-05,8.02E-06,1,1,277,West Virginia,81.82,Greenville 1,10,26
womens,3/12/23,1,0.545043957,0.159664417,0.01893191,0.005032511,0.000165997,3.19E-05,7.69E-06,0,1,344,Mississippi State,82.43,Greenville 1,11b,19
womens,3/12/23,0,1,0.263072257,0.032244038,0.006494679,0.000757304,0.000125515,6.73E-06,1,1,2439,Nevada-Las Vegas,80.95,Greenville 2,11,114
womens,3/12/23,0,1,0.163800404,0.016233732,0.002341736,0.000342904,4.96E-05,2.56E-06,1,1,2649,Toledo,79.99,Seattle 3,12,74
womens,3/12/23,1,0.454956043,0.119033049,0.012414447,0.002460672,5.73E-05,7.92E-06,1.43E-06,0,1,356,Illinois,79.8,Greenville 1,11a,18
womens,3/12/23,0,1,0.160572788,0.01271667,0.000847864,0.000157616,6.89E-06,1.28E-06,1,1,2181,Drake,80.27,Seattle 4,12,42
womens,3/12/23,0,1,0.101523465,0.033906435,0.0022255,0.000317685,3.53E-05,1.24E-06,1,1,325,Cleveland State,77.38,Greenville 2,13,110
womens,3/12/23,1,0.337456415,0.05442334,0.006743957,0.000574704,8.15E-05,1.00E-05,4.37E-07,0,1,2599,St. John's (NY),78.1,Seattle 3,11b,83
womens,3/12/23,0,1,0.199328109,0.027038232,0.000168956,1.96E-05,1.74E-06,2.11E-07,1,1,2501,Portland,77.99,Greenville 1,12,10
womens,3/12/23,0,1,0.039411336,0.005343136,0.000214639,1.55E-05,1.04E-06,2.41E-08,1,1,256,James Madison,73.16,Seattle 3,14,86
womens,3/12/23,0,1,0.022359027,0.003023496,9.21E-05,9.22E-06,2.08E-07,2.27E-08,1,1,151,East Carolina,75.4,Seattle 4,13,46
womens,3/12/23,0,1,0.020109588,0.002027365,0.000111606,6.74E-06,4.64E-07,1.10E-08,1,1,139,Saint Louis,71.98,Seattle 3,13,78
womens,3/12/23,0,1,0.050830727,0.009634118,2.80E-05,1.74E-06,8.70E-08,6.36E-09,1,1,16,Sacramento State,72.81,Greenville 1,13,14
womens,3/12/23,0,1,0.012074796,0.001053529,7.07E-05,4.16E-06,2.11E-07,3.34E-09,1,1,2241,Gardner-Webb,69.9,Greenville 2,15,126
womens,3/12/23,1,0.647403485,0.002449629,0.000323858,3.10E-05,1.55E-06,5.95E-08,7.14E-10,0,1,2635,Tennessee Tech,66.81,Greenville 2,16a,98
womens,3/12/23,0,1,0.017298247,0.001897871,6.93E-05,1.57E-06,5.23E-08,5.43E-10,1,1,62,Hawaii,69.63,Greenville 2,14,118
womens,3/12/23,0,1,0.014839755,0.002155697,8.32E-05,3.75E-07,9.61E-09,3.86E-10,1,1,107,Holy Cross,67.66,Greenville 1,15,30
womens,3/12/23,0,1,0.009115443,0.000690478,2.99E-05,1.40E-07,5.50E-09,3.27E-10,1,1,253,Southern Utah,69.71,Greenville 1,14,22
womens,3/12/23,0,1,0.004098054,0.000497787,2.53E-05,8.58E-07,2.69E-08,2.86E-10,1,1,261,Vermont,67.45,Seattle 3,15,94
womens,3/12/23,0,1,0.000344032,4.09E-05,4.20E-06,1.92E-07,4.88E-09,1.96E-10,1,1,2450,Norfolk State,66.68,Greenville 1,16,2
womens,3/12/23,0,1,0.016102774,0.00144741,2.91E-05,4.46E-07,3.25E-09,1.35E-10,1,1,314,Iona,67.49,Seattle 4,14,54
womens,3/12/23,0,1,0.003148133,0.000207252,1.13E-05,1.60E-07,1.39E-09,6.80E-11,1,1,2545,Southeastern Louisiana,66.27,Seattle 4,15,62
womens,3/12/23,0,1,0.003946987,0.000311824,7.37E-06,1.64E-07,4.57E-09,4.30E-11,1,1,236,Chattanooga,64.87,Seattle 3,16,66
womens,3/12/23,1,0.352596515,0.000674154,5.63E-05,3.50E-06,1.14E-07,2.95E-09,2.40E-11,0,1,2405,Monmouth,64.1,Greenville 2,16b,99
womens,3/12/23,1,0.62491106,0.000345573,1.13E-05,1.75E-07,3.63E-09,2.00E-11,1.00E-12,0,1,2582,Southern,61.73,Seattle 4,16a,34
womens,3/12/23,1,0.37508894,0.000113594,2.35E-06,2.46E-08,3.61E-10,1.00E-12,0,0,1,2529,Sacred Heart,59,Seattle 4,16b,35
